"구분,지점코드,숙소명,비교대상자사코드,상권명,,,야호,,,,,,,,,,,,,"
"경쟁사,3002286,부산 남포동 소유호텔,10047681,남포동/중앙동/태종대/송도/영도,,,,,,,,,,,,,,,,"
"경쟁사,24966,부산 남포동 엘리제,10047681,남포동/중앙동/태종대/송도/영도,,,,,,,,,,,,,,,,"
"경쟁사,3000396,부산 남포동 MU,10047681,남포동/중앙동/태종대/송도/영도,,,,,,,,,,,,,,,,"
"자사,10059184,아늑호텔 앤 스파 평택점,,평택/송탄/안성,,,,,,,,,,,,,,,,"
"경쟁사,1000112036,송탄 하운드 평택송탄,10059184,평택/송탄/안성,,,,,,,,,,,,,,,,"
"경쟁사,3008698,송탄 마리포사,10059184,평택/송탄/안성,,,,,,,,,,,,,,,,"
"경쟁사,3017413,송탄 알로 호텔,10059184,평택/송탄/안성,,,,,,,,,,,,,,,,"
"자사,10059842,심도 호텔 앤 스파 신림역 by 아늑,,신림/서울대/사당/동작,,,,,,,,,,,,,,,,"
"경쟁사,25122,신림 빌라드보니 호텔,10059842,신림/서울대/사당/동작,,,,,,,,,,,,,,,,"
"경쟁사,23940,신림 페이지나인 호텔,10059842,신림/서울대/사당/동작,,,,,,,,,,,,,,,,"
"경쟁사,10046988,신림 HERTZ(헤르츠),10059842,신림/서울대/사당/동작,,,,,,,,,,,,,,,,"
"자사,1020096,스테이 패스포트 후쿠오카 대전유성점,,유성구,,,,,,,,,,,,,,,,"
"경쟁사,10057991,대전 유성 브라운도트 유성온천점,1020096,유성구,,,,,,,,,,,,,,,,"
"경쟁사,24976,대전 유성 렉시,1020096,유성구,,,,,,,,,,,,,,,,"
"경쟁사,1009319,대전 유성 호텔 안온,1020096,유성구,,,,,,,,,,,,,,,,"
"자사,24889,스테이 패스포트 익스프레스 당산점,,영등포/여의도,,,,,,,,,,,,,,,,"
"경쟁사,3000729,호텔 로프트 서울,24889,영등포/여의도,,,,,,,,,,,,,,,,"
"경쟁사,10047009,유니언 호텔,24889,영등포/여의도,,,,,,,,,,,,,,,,"
"경쟁사,10045102,호텔 아벤트리 여의도,24889,영등포/여의도,,,,,,,,,,,,,,,,"
"자사,24889,아늑 료칸 앤드 아늑 에어 청주점,,청주 흥덕구 / 서원구 (청주 터미널),,,,,,,,,,,,,,,,"
"경쟁사,1018732,청주 호텔 리온(HOTEL LION),24889,청주 흥덕구 / 서원구 (청주 터미널),,,,,,,,,,,,,,,,"
"경쟁사,3011249,청주 LUCE Business Hotel,24889,청주 흥덕구 / 서원구 (청주 터미널),,,,,,,,,,,,,,,,"
"경쟁사,10042551,청주 센트럴 (CENTRAL HOTEL),24889,청주 흥덕구 / 서원구 (청주 터미널),,,,,,,,,,,,,,,,"
"자사,3009854,아늑호텔 영등포점,,영등포/여의도,,,,,,,,,,,,,,,,"
"경쟁사,3015505,영등포 아이리스,3009854,영등포/여의도,,,,,,,,,,,,,,,,"
"경쟁사,26384,영등포 코모도,3009854,영등포/여의도,,,,,,,,,,,,,,,,"
"경쟁사,23727,영등포 샵,3009854,영등포/여의도,,,,,,,,,,,,,,,,"
"자사,28213,아늑 호텔 앤 스파 종로운니점,,종로/대학로/동묘앞역,,,,,,,,,,,,,,,,"
"경쟁사,23384,종로 더 디자이너스,28213,종로/대학로/동묘앞역,,,,,,,,,,,,,,,,"
"경쟁사,3018326,종로 순라스테이 SULLA STAY,28213,종로/대학로/동묘앞역,,,,,,,,,,,,,,,,"
"경쟁사,10064603,엠제이 호텔 종로,28213,종로/대학로/동묘앞역,,,,,,,,,,,,,,,,"
"자사,27263,스테이패스포트 모로코 스파 인천송도점,,송도/연수,,,,,,,,,,,,,,,,"
"경쟁사,1000113240,인천(송도) 큐브,27263,송도/연수,,,,,,,,,,,,,,,,"
"경쟁사,3006927,인천(송도) 스테이호텔,27263,송도/연수,,,,,,,,,,,,,,,,"
"경쟁사,1000100312,인천(송도) 넘버25 송도점,27263,송도/연수,,,,,,,,,,,,,,,,"
"자사,23654,아늑 호텔 앤드 스파 대전유성점,,유성구,,,,,,,,,,,,,,,,"
"경쟁사,3001918,대전 유성 Hotel LOD 1호점,23654,유성구,,,,,,,,,,,,,,,,"
"경쟁사,3003950,대전 유성 호텔 루이스,23654,유성구,,,,,,,,,,,,,,,,"
"경쟁사,3010750,대전 유성 칸느,23654,유성구,,,,,,,,,,,,,,,,"
"자사,1000110399,온도 호텔 앤 스파 서울종로점,,종로/대학로/동묘앞역,,,,,,,,,,,,,,,,"
"경쟁사,25588,종로 심플스테이,1000110399,종로/대학로/동묘앞역,,,,,,,,,,,,,,,,"
"경쟁사,3017491,종로 더 포스트 호텔,1000110399,종로/대학로/동묘앞역,,,,,,,,,,,,,,,,"
"경쟁사,1020024,종로 우미관,1000110399,종로/대학로/동묘앞역,,,,,,,,,,,,,,,,"
"자사,1000105222,누베르 호텔 앤 스파 서울종로점,,종로/대학로/동묘앞역,,,,,,,,,,,,,,,,"
"경쟁사,10061288,구월호텔 동대문,1000105222,종로/대학로/동묘앞역,,,,,,,,,,,,,,,,"
"경쟁사,3000378,종로 YAJA 종로점,1000105222,종로/대학로/동묘앞역,,,,,,,,,,,,,,,,"
"경쟁사,23787,종로 시네마,1000105222,종로/대학로/동묘앞역,,,,,,,,,,,,,,,,"
"자사,10065042,케이브 료칸 by 아늑 성신여대점,,종로/대학로/동묘앞역,,,,,,,,,,,,,,,,"
"경쟁사,3002331,성신여대 YAJA 성신여대역점,10065042,종로/대학로/동묘앞역,,,,,,,,,,,,,,,,"
"경쟁사,26434,성신여대역 더월(THE WALL),10065042,종로/대학로/동묘앞역,,,,,,,,,,,,,,,,"
"경쟁사,1000100548,성신여대 브라운도트 성신여대점,10065042,종로/대학로/동묘앞역,,,,,,,,,,,,,,,,"
"자사,10064898,아늑 료칸 호텔 송탄점,,평택/송탄/안성,,,,,,,,,,,,,,,,"
"경쟁사,10065652,평택 호텔 더 그레이 송탄점,10064898,평택/송탄/안성,,,,,,,,,,,,,,,,"
"경쟁사,10046987,송탄 헤르메스,10064898,평택/송탄/안성,,,,,,,,,,,,,,,,"
"경쟁사,27170,송탄 퍼슨,10064898,평택/송탄/안성,,,,,,,,,,,,,,,,"
"자사,25543,아늑 료칸 호텔 수원점,,수원역/구운/행궁/장안구,,,,,,,,,,,,,,,,"
"경쟁사,3013143,수원 구운동 아마레,25543,수원역/구운/행궁/장안구,,,,,,,,,,,,,,,,"
"경쟁사,10054186,수원 구운동 호텔 뉴욕(NEW YORK),25543,수원역/구운/행궁/장안구,,,,,,,,,,,,,,,,"
"경쟁사,1002745,수원 구운동 호텔 앤드 &,25543,수원역/구운/행궁/장안구,,,,,,,,,,,,,,,,"
"자사,26352,미타스야 료칸 호텔 by 아늑 천안점,,천안 동남구,,,,,,,,,,,,,,,,"
"경쟁사,10047642,천안 브라운도트 천안터미널점,26352,천안 동남구,,,,,,,,,,,,,,,,"
"경쟁사,1000109243,호텔 캄캄,26352,천안 동남구,,,,,,,,,,,,,,,,"
"경쟁사,26929,천안 저스트슬립호텔 천안터미널점,26352,천안 동남구,,,,,,,,,,,,,,,,"
"자사,27440,소원 료칸 앤 호텔 by 아늑 상봉점,,상봉/중랑/면목,,,,,,,,,,,,,,,,"
"경쟁사,3009511,상봉 M,27440,상봉/중랑/면목,,,,,,,,,,,,,,,,"
"경쟁사,1000100058,상봉 호텔 그레이튼,27440,상봉/중랑/면목,,,,,,,,,,,,,,,,"
"경쟁사,23244,상봉 호텔스타,27440,상봉/중랑/면목,,,,,,,,,,,,,,,,"
"자사,10065482,스테이 패스포트 에어플레인 구리점,,구리,,,,,,,,,,,,,,,,"
"경쟁사,27306,구리 THE STAY(더스테이) 여기,10065482,구리,,,,,,,,,,,,,,,,"
"경쟁사,1002087,구리 뉴캐슬,10065482,구리,,,,,,,,,,,,,,,,"
"경쟁사,3007708,구리 제니스,10065482,구리,,,,,,,,,,,,,,,,"
"자사,3012313,아늑호텔 수원역점,,수원역/구운/행궁/장안구,,,,,,,,,,,,,,,,"
"경쟁사,3011262,수원역 디자인호텔 칸,3012313,수원역/구운/행궁/장안구,,,,,,,,,,,,,,,,"
"경쟁사,10051705,수원역 호텔 하루,3012313,수원역/구운/행궁/장안구,,,,,,,,,,,,,,,,"
"경쟁사,3016345,수원역 해시,3012313,수원역/구운/행궁/장안구,,,,,,,,,,,,,,,,"
"자사,10065927,아늑리조트앤스파 부산해운대점,,해운대/센텀시티/재송,,,,,,,,,,,,,,,,"
"경쟁사,1000111517,부산 해운대 하운드 해운대 1호점 시그니처,10065927,해운대/센텀시티/재송,,,,,,,,,,,,,,,,"
"경쟁사,3000224,부산 해운대 리엔(LIEN) 호텔,10065927,해운대/센텀시티/재송,,,,,,,,,,,,,,,,"
"경쟁사,26109,부산 해운대 클리프 베이 호텔,10065927,해운대/센텀시티/재송,,,,,,,,,,,,,,,,"
"자사,3009680,아늑 호텔 앤 스파 건대점,,건대/군자/구의,,,,,,,,,,,,,,,,"
"경쟁사,3012076,건대(화양사거리) 호텔 더 디자이너스 프리미어 성수&건대,3009680,건대/군자/구의,,,,,,,,,,,,,,,,"
"경쟁사,10059284,건대 성수스테이,3009680,건대/군자/구의,,,,,,,,,,,,,,,,"
"경쟁사,3011740,건대 H Avenue 건대점,3009680,건대/군자/구의,,,,,,,,,,,,,,,,"
"자사,10044646,프롬에이치 어바웃호텔 충주점,,충주/수안보,,,,,,,,,,,,,,,,"
"경쟁사,10047282,충주 브라운도트 시청점,10044646,충주/수안보,,,,,,,,,,,,,,,,"
